,precision,recall,f1-score,support
lung_aca,0.8144712430426716,0.5853333333333334,0.6811481768813034,750.0
lung_n,0.9238709677419354,0.9546666666666667,0.939016393442623,750.0
lung_scc,0.7243589743589743,0.904,0.8042704626334519,750.0
accuracy,0.8146666666666667,0.8146666666666667,0.8146666666666667,0.8146666666666667
macro avg,0.8209003950478605,0.8146666666666667,0.8081450109857927,2250.0
weighted avg,0.8209003950478605,0.8146666666666667,0.8081450109857928,2250.0
