,precision,recall,f1-score,support
lung_aca,0.9738651994497937,0.944,0.9587000677048071,750.0
lung_n,0.9973297730307076,0.996,0.9966644429619747,750.0
lung_scc,0.9483204134366925,0.9786666666666667,0.963254593175853,750.0
accuracy,0.9728888888888889,0.9728888888888889,0.9728888888888889,0.9728888888888889
macro avg,0.9731717953057313,0.9728888888888889,0.9728730346142115,2250.0
weighted avg,0.9731717953057313,0.9728888888888889,0.9728730346142115,2250.0
