,precision,recall,f1-score,support
lung_aca,0.9816901408450704,0.9293333333333333,0.9547945205479452,750.0
lung_n,0.9946737683089214,0.996,0.9953364423717521,750.0
lung_scc,0.9378960709759189,0.9866666666666667,0.9616634178037686,750.0
accuracy,0.9706666666666667,0.9706666666666667,0.9706666666666667,0.9706666666666667
macro avg,0.9714199933766369,0.9706666666666667,0.970598126907822,2250.0
weighted avg,0.9714199933766369,0.9706666666666667,0.970598126907822,2250.0
