,precision,recall,f1-score,support
lung_aca,0.9853723404255319,0.988,0.9866844207723036,750.0
lung_n,0.9986648865153538,0.9973333333333333,0.9979986657771848,750.0
lung_scc,0.9893190921228304,0.988,0.9886591060707138,750.0
accuracy,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.9911111111111112
macro avg,0.9911187730212387,0.991111111111111,0.9911140642067341,2250.0
weighted avg,0.9911187730212386,0.9911111111111112,0.9911140642067342,2250.0
