Model,Model Size (M params),Compressed Size (MB),Latency (s),Accuracy
Vgg19,20.552771,20.661704,90.87615752220154,0.9902222222222222
Resnet,25.688963,26.0324,34.5229549407959,0.8728888888888889
Inception,23.904035,24.20332,21.118967056274414,0.9835555555555555
Efficientnet,5.36439,5.869016,18.99488401412964,0.3333333333333333
Mobilenet,3.572803,3.831672,13.632588624954224,0.9911111111111112
